	gene	pval	qval	log2fc	mean	zero_mean	zero_variance
143	si:ch211-59d8.2	0.6679128344611995	0.8250972063185716	-1066.172578888357	0.0037081073586342265	False	False
144	si:dkey-4e4.1			0.0	0.0	True	True
145	pcloa	0.11628020660660524	0.8250972063185716	-0.3314665583796752	1.1197577552213263	False	False
146	si:ch211-76m11.8	0.44181876870565506	0.8250972063185716	0.7243984842404279	0.06369712657521291	False	False
147	mrpl42	0.7060292802633104	0.8496355471030292	0.545315229035054	0.0339833154599853	False	False
148	mrps10	0.4386290508177083	0.8250972063185716	0.7722732043673562	0.059168279610461824	False	False
149	znf1118	0.6679128344611995	0.8250972063185716	-1065.2483095177975	0.001953977213812218	False	False
150	znf1085			0.0	0.0	True	True
151	si:dkey-265e7.1			0.0	0.0	True	True
152	si:dkey-16p6.1-3	0.38678940539676054	0.8250972063185716	-1068.1941777683085	0.015056159316634935	False	False
153	gnai1	0.07330243396322106	0.7366175961990351	0.7484343903202038	0.24454496022114536	False	False
154	parp12b	0.3684622347992291	0.8250972063185716	-0.9720838196500653	0.10907657043331281	False	False
155	si:dkey-16b10.1			0.0	0.0	True	True
156	znf1034	0.45419064168464385	0.8250972063185716	-1067.767619328463	0.011202303025825524	False	False
157	si:dkeyp-27e10.3	0.31667956577915957	0.8250972063185716	-0.4851835637666191	0.335274998216145	False	False
158	ifrd1	0.9276795329638046	0.9697493078133326	-0.06646832758974212	0.3590146252484315	False	False
159	pwp1	0.20218312684708606	0.8250972063185716	-1.7449564101812698	0.06904743286552335	False	False
160	shisal1a	0.2508348663254304	0.8250972063185716	-1069.0476924130955	0.027204936178623403	False	False
161	tulp4a	0.1522505698428453	0.8250972063185716	1.0723335990971679	0.032536717701514235	False	False
162	ppp6r2a	0.6993188942475428	0.8491247907162616	-0.2516797716785543	0.10391650629959316	False	False
163	si:dkey-14k9.3			0.0	0.0	True	True
164	CR293509.1	0.020667622423476972	0.3516735380931133	2.6605971722791644	0.020621371390336332	False	False
165	si:ch211-214j24.10	0.4744472544791368	0.8250972063185716	0.8009505272399599	0.024962171365408577	False	False
166	zgc:173705			0.0	0.0	True	True
167	si:dkeyp-44b5.5			0.0	0.0	True	True
168	znf1042	0.6679128344611995	0.8250972063185716	-1065.5109666985768	0.0023441596431925953	False	False
169	BX324003.1	0.6146589690729404	0.8250972063185716	0.33243622849370785	0.010265354191008009	False	False
170	aldh1l2	0.6120107539676574	0.8250972063185716	0.8437755373073854	0.01422919306408394	False	False
171	si:ch211-59d8.3	0.6679128344611995	0.8250972063185716	-1066.0447376268344	0.00339365934005163	False	False
172	akr1b1.1	0.2508348663254304	0.8250972063185716	-1068.9010566297984	0.024575702564992696	False	False
173	cd9b			0.0	0.0	True	True
174	mkrn1	0.21727960967911342	0.8250972063185716	0.5297202072733008	0.23000639178298302	False	False
175	si:dkey-16p6.1-5	0.5419961310840583	0.8250972063185716	-1067.1394476809471	0.007247843512618819	False	False
176	akr1b1.2	0.38678940539676054	0.8250972063185716	-1068.0261382449407	0.013400754918164186	False	False
177	tmem121b	0.6679128344611995	0.8250972063185716	-1066.187299208954	0.0037461361516936487	False	False
178	znf1053			0.0	0.0	True	True
179	si:dkey-26h11.2			0.0	0.0	True	True
180	nup107	0.3865763581365972	0.8250972063185716	0.5142156674977285	0.03950886935792833	False	False
181	tmem181	0.25529194297665714	0.8250972063185716	-1.02342577063181	0.08575413079704931	False	False
182	ms4a17a.7			0.0	0.0	True	True
183	osgep	0.6679128344611995	0.8250972063185716	-1066.0582089530815	0.0034254964234100445	False	False
184	dock4b	0.5246089656252587	0.8250972063185716	-0.4107250182470731	0.14292516845530115	False	False
185	ttc41	0.02106081028966778	0.3516735380931133	1068.544852915573	0.003595898369907188	False	False
186	BX640547.1			0.0	0.0	True	True
187	fam3c	0.45419064168464385	0.8250972063185716	-1067.8844302816124	0.012147052737338716	False	False
188	ms4a17a.4	0.5419961310840583	0.8250972063185716	-1067.1797179370199	0.007453004148659719	False	False
189	si:dkey-4j21.2	0.5419961310840583	0.8250972063185716	-1067.196980560065	0.007542719029717975	False	False
190	lum			0.0	0.0	True	True
191	CU571163.1			0.0	0.0	True	True
192	il17ra1a			0.0	0.0	True	True
193	znf1112			0.0	0.0	True	True
194	si:ch73-56d11.5			0.0	0.0	True	True
195	si:dkey-159a18.1			0.0	0.0	True	True
196	ankrd16	0.5419961310840583	0.8250972063185716	-1067.1809055904382	0.007459142126541569	False	False
197	pnpla8	0.09066332368926229	0.8227364066930261	1.020887239213911	0.08144471143335308	False	False
198	dynlt1	0.5432694462030634	0.8250972063185716	0.7180929543476865	0.0457655725533089	False	False
199	si:dkeyp-81f3.4			0.0	0.0	True	True
